ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
1,"Info about this ""QAQC To Do"" list","To Do

The items below are LANDIS-II repos that (1) are ready to be QAQC tested (as documented by GitHub ""Merged"" actions or flagged with a ""Ready-for-Testing"" milestone), (2) are ready for standardization and documentation changes, and/or (3) need a new installer to accompany a new release. 

Repo standardization includes:
a) re-organizing and standardizing repo directories \deploy, \src, \testings
b) synchronizing .csproj, .iss, and ExtInfo.txt files
c) standardizing .iss files for easy replication to new extensions
d) easily updatable/replicable README.txt

Typically, new releases will require the additional QAQC step of beta-testing the release (ie, the newly-built installer) against a real (user-defined) dataset. 

",,,,,
4,"Info about this ""QAQC In-Progress"" list","The items below are LANDIS-II repos that are currently being QAQC tested.
",,,,,
9,"Info about this ""QAQC Done"" list","Completion will include a Project Work Log (PWL) .txt file documenting QAQC testing , clean-up and standardization, and/or release testing ",,,,,
11,[LANDIS-II-Foundation/Extension-Biomass-Succession -- 6(a)] ConfirmedReleaseVersion ==> 4.0,"* Repo standardization and cleanup
* Example files not working (#2)
* Activate Climate Library in Biomass-Succession #6
* Restructure and Fix to Work with Biomass Cohorts #8
* Needs CohortPartialMortality to use the new Library.BiomassCohorts-v2 #9
* Update documentation (Issue #10)",this repo ready,,,,
12,[LANDIS-II-Foundation/Extension-Output-Biomass -- 9] ConfirmedReleaseVersion ==> 2.2,"* Restructure and Metadata (Pull #2)
* Needs metadata (Issue #1)
* update example to s2e1
",this repo ready,,,,
15,[LANDIS-II-Foundation/Core-Model -- 2] ConfirmedReleaseVersion ==> 6.2.1,"* Restructure away from SVN and remove /sdk directory #15
* Restructured CoreModel #16
* Spp name added to error messages; version number added #17
* Virtual methods #18
* Fix for Issue #8 plus some small corrections #19",this repo ready,,,,
16,[LANDIS-II-Foundation/Extension-Base-BDA -- 8] ConfirmedReleaseVersion ==> 3.0.1,"* Tandem method changes with virtual and override #2
* Repo clean-up and standardization",this repo is ready,,,,
17,[LANDIS-II-Foundation/Library-Harvest-Mgmt] & [LANDIS-II-Foundation/Extension-Biomass-Harvest] -- PR10,"* SingleRepeat option not functional
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/22


",,"QAQC passed per recommendation of B.Cassell and A. Ruzicka
https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/10
Austen pushed changes to https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/pull/24
Austen pushed changes to https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/8 on 11 July; merged 
will need to rebuild Landis.Library.HarvestManagement-v2.dll (becomes v3)",,,
18,[LANDIS-II-Foundation/LANDVIZ     -- 1] ?? ConfirmedReleaseVersion ==> 1.1 ??,"* Updates to PreProcTool rebuild protocol #19
* Area units need to be flexible #18",this repo technically ready for v1.1  ??,,,,
19,[LANDIS-II-Foundation/Extension-Biomass-Harvest -- 3(a)] ConfirmedReleaseVersion ==> 3.2,"* Repo clean-up and standardization
* Biomass Harvest not communicating with succession for partial cohort disturbance #13
* A new issue (Slack, 8 Apr) with parsing biomass reductions.  The parser no longer recognizes 100% harvesting; the default if the biomass reduction is absent (This issue traced to Library.Biomass.Harvest.)",this repo released,,,,
20,[LANDIS-II-Foundation/Extension-Base-Harvest -- 4],"* Repo clean-up and standardization
* Correct release version should be 3.1 (Issue #18)
",,,,,
21,[LANDIS-II-Foundation/Extension-NECN-Succession -- 5] ConfirmedReleaseVersion ==> 4.2,* Repo clean-up and standardization,this repo is ready,,,,
24,[LANDIS-II-Foundation/Library-Succession] --PR8,"* Planting recurs at each succession timestep
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/21
* Reset selectedSpecies[site] to false after attempting to plant
https://github.com/bmarron18/Library-Succession/pull/1",,"BMiranda pushed changes to https://github.com/bmarron18/Library-Succession/pull/1 on 19 July; merged
Brian Miranda may have fixed  - Because this fix was applied to the Succession Library, all succession extensions will need to be released with this updated library.",,,
25,[LANDIS-II-Foundation/Extension-Biomass-Insects -- 16] ConfirmedReleaseVersion ==> 2.1,"* Needs metadata output (Issue #1)
* Metadata and File Restructure (Pull #2)
* Quick Bug Fix (pull #4)
* Remove Landis.Extension.Succession.Biomass.dll as a requisite build library (issue #6)
* Removed Landis.Extension.Sucession.Biomass prerequisite (pull #7)",this repo ready,,,,
28,MISC,,,,,,
31,[LANDIS-II-Foundation/Extension-Output-Biomass-Reclass] -- PR5,"* Can or does this extension work with NECN? (yes, closed issue #5)
* Works with Biomass Succession?https://github.com/LANDIS-II-Foundation/Extension-Output-Biomass-Reclass/issues/6
* test Rob's latest (done)",,"passed QAQC test run w/ Biomass Succession

Yes, works with NECN",,,
35,"Info about this ""Programming To Do"" list",Programming tasks are assigned to individuals from repo Issues posted in GitHub. This is simply a list of Issues thta have been assigned.assigned.,,,,,
36,[LANDIS-II-Foundation/Extension-Output-Biomass-By-Age -- 11] ConfirmedReleaseVersion ==> 2.2,"* Needs metadata output #1
* Restructure and Metadata #2",this repo is ready,,,,
44,[LANDIS-II-Foundation/Extension-Output-Maximum-Spp-Age -- 14] ConfirmedReleaseVersion ==> 2.1,"* Needs to be migrated from extensions-output sub-directory (Issue #1)
*  Needs metadata output (Issue #2)",this repo is ready,,,,
48,[LANDIS-II-Foundation/Extension-Base-Wind -- 12] ConfirmedReleaseVersion ==> 2.2,* Repo standardization and cleanup,this repo is ready,,,,
49,[LANDIS-II-Foundation/Extension-Base-Fire -- 10] ConfirmedReleaseVersion ==> 3.1,"Repo work:

*  Needs metadata output (issue #1)
*  Repo standardization and cleanup
*  Restructure and Metadata(pull  #2)
* Fix for Potentially Problematic Code (pull #3)
* Bug fix and misc (merge #5)
* Fixed metadata bug (pull #1 Vincent)

",this repo is ready,,,,
